hot,images,int,labels,path
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[158 183 203]
  [160 187 206]
  [160 185 205]
  ...
  [236 225 214]
  [216 212 194]
  [221 217 206]]

 [[177 202 222]
  [183 208 228]
  [184 208 228]
  ...
  [224 218 206]
  [225 222 214]
  [240 234 219]]

 [[199 219 240]
  [207 225 245]
  [208 226 246]
  ...
  [225 217 205]
  [231 220 205]
  [225 209 180]]

 ...

 [[232 231 229]
  [237 236 232]
  [237 236 232]
  ...
  [187 174 157]
  [192 176 162]
  [207 189 185]]

 [[239 238 235]
  [238 237 233]
  [240 239 235]
  ...
  [197 184 168]
  [199 181 169]
  [188 184 183]]

 [[242 242 240]
  [247 246 242]
  [236 232 229]
  ...
  [180 163 152]
  [206 191 181]
  [215 206 198]]]",3,n3,input/training/n3/n3116.jpg
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[176 190 199]
  [174 188 197]
  [179 192 201]
  ...
  [100 116 115]
  [ 98 114 113]
  [101 117 116]]

 [[176 191 199]
  [181 194 203]
  [181 194 203]
  ...
  [101 117 116]
  [101 117 116]
  [100 116 115]]

 [[176 190 199]
  [182 196 205]
  [182 195 204]
  ...
  [106 122 121]
  [104 119 122]
  [105 120 123]]

 ...

 [[159 164 144]
  [163 168 148]
  [167 174 156]
  ...
  [ 24  24  16]
  [  9  13   6]
  [ 10  13   6]]

 [[152 160 139]
  [155 163 142]
  [158 167 148]
  ...
  [ 18  18  10]
  [ 16  21  14]
  [ 16  20  14]]

 [[146 152 128]
  [153 158 138]
  [156 164 143]
  ...
  [ 25  25  17]
  [ 12  15   8]
  [ 16  19  12]]]",3,n3,input/training/n3/n3039.jpg
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[106 130 160]
  [ 99 124 154]
  [104 129 159]
  ...
  [ 80  89 104]
  [ 93 102 117]
  [ 90  99 114]]

 [[104 129 159]
  [100 125 155]
  [106 131 161]
  ...
  [ 76  85 100]
  [ 93 102 117]
  [104 113 128]]

 [[104 129 159]
  [100 126 156]
  [101 126 156]
  ...
  [ 79  88 103]
  [ 89  98 113]
  [105 114 129]]

 ...

 [[ 58  79 108]
  [ 54  75 104]
  [ 53  74 103]
  ...
  [ 28  42  55]
  [ 26  39  53]
  [ 27  41  54]]

 [[ 54  74 101]
  [ 50  70  97]
  [ 49  69  96]
  ...
  [ 28  41  55]
  [ 32  45  59]
  [ 32  46  59]]

 [[ 52  73 100]
  [ 50  71  98]
  [ 48  69  96]
  ...
  [ 31  44  61]
  [ 32  45  62]
  [ 36  49  66]]]",3,n3,input/training/n3/n3050.jpg
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[227 239 251]
  [213 230 246]
  [190 207 227]
  ...
  [181 201 233]
  [152 176 204]
  [127 146 163]]

 [[233 245 255]
  [215 232 248]
  [188 205 225]
  ...
  [176 196 221]
  [145 169 197]
  [122 135 154]]

 [[233 246 254]
  [235 244 255]
  [201 220 237]
  ...
  [183 200 228]
  [161 180 210]
  [133 151 172]]

 ...

 [[ 34  37  42]
  [ 41  46  52]
  [ 38  41  48]
  ...
  [ 87  96 111]
  [ 75  84  93]
  [ 76  85  94]]

 [[ 37  40  45]
  [ 42  45  50]
  [ 29  32  37]
  ...
  [ 55  62  70]
  [ 49  52  59]
  [ 66  73  78]]

 [[ 32  35  40]
  [ 31  34  39]
  [ 27  30  35]
  ...
  [ 40  47  55]
  [ 66  69  76]
  [ 48  55  61]]]",3,n3,input/training/n3/n3037.jpg
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[112 118 118]
  [104 106 103]
  [105 104 100]
  ...
  [ 61  71  74]
  [153 164 168]
  [249 250 252]]

 [[119 125 125]
  [ 98 102 103]
  [ 74  83  86]
  ...
  [ 44  56  60]
  [122 142 143]
  [241 246 250]]

 [[123 127 130]
  [100 105 108]
  [ 77  86  85]
  ...
  [ 26  38  48]
  [ 71  91  92]
  [173 181 186]]

 ...

 [[ 64  77  85]
  [ 82  93  99]
  [ 78  96 102]
  ...
  [159 138 111]
  [150 138 114]
  [207 187 154]]

 [[ 61  79  84]
  [ 81  93 100]
  [ 77  87  91]
  ...
  [175 156 124]
  [185 165 135]
  [190 171 138]]

 [[ 59  74  79]
  [ 67  84  92]
  [ 74  88  95]
  ...
  [142 127 104]
  [156 148 127]
  [176 165 143]]]",3,n3,input/training/n3/n3051.jpg
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[144 152 172]
  [148 156 175]
  [150 158 179]
  ...
  [ 61  61  61]
  [ 49  49  49]
  [ 41  41  41]]

 [[149 157 180]
  [149 160 183]
  [153 163 188]
  ...
  [ 63  63  63]
  [ 51  51  51]
  [ 44  44  44]]

 [[151 161 186]
  [154 164 191]
  [155 166 194]
  ...
  [ 64  64  64]
  [ 54  54  54]
  [ 47  47  47]]

 ...

 [[154 140 127]
  [159 142 126]
  [157 140 122]
  ...
  [133 143 148]
  [ 34  46  95]
  [ 63  49  37]]

 [[156 142 128]
  [154 140 121]
  [144 129 110]
  ...
  [ 48  41  34]
  [ 81  82  88]
  [ 55  42  26]]

 [[147 138 125]
  [152 137 116]
  [135 127 108]
  ...
  [ 54  44  36]
  [ 49  40  36]
  [ 40  31  22]]]",3,n3,input/training/n3/n3071.jpg
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[241 244 249]
  [241 244 249]
  [242 245 250]
  ...
  [210 220 230]
  [208 218 229]
  [207 217 229]]

 [[241 244 249]
  [241 244 249]
  [242 245 250]
  ...
  [211 221 231]
  [209 219 230]
  [207 217 229]]

 [[241 244 249]
  [241 244 249]
  [242 245 250]
  ...
  [214 220 232]
  [211 219 231]
  [207 217 229]]

 ...

 [[206 212 224]
  [206 212 224]
  [207 213 225]
  ...
  [175 187 201]
  [173 185 199]
  [171 183 197]]

 [[204 211 223]
  [205 211 223]
  [205 211 223]
  ...
  [171 183 196]
  [169 181 195]
  [167 179 193]]

 [[201 211 223]
  [202 210 222]
  [203 209 221]
  ...
  [169 179 191]
  [167 177 189]
  [164 174 187]]]",3,n3,input/training/n3/n3128.jpg
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[ 92  95  99]
  [ 95  95 101]
  [100 101 106]
  ...
  [154 168 177]
  [156 170 179]
  [159 172 181]]

 [[ 64  69  65]
  [ 72  73  71]
  [ 75  82  79]
  ...
  [167 177 187]
  [154 167 176]
  [156 169 178]]

 [[ 49  54  50]
  [ 52  50  52]
  [ 50  50  48]
  ...
  [169 177 188]
  [150 163 172]
  [151 166 173]]

 ...

 [[ 43  26  14]
  [ 55  32  17]
  [ 55  34  13]
  ...
  [ 47  34  17]
  [ 62  46  30]
  [ 45  35  23]]

 [[ 40  24  14]
  [ 47  30  14]
  [ 51  36  15]
  ...
  [ 44  32  19]
  [ 50  36  24]
  [ 44  36  18]]

 [[ 39  21  11]
  [ 45  27  15]
  [ 48  32  16]
  ...
  [ 50  41  25]
  [ 75  64  44]
  [ 33  27  16]]]",3,n3,input/training/n3/n3062.jpg
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[ 42  53  42]
  [ 38  49  37]
  [ 38  48  39]
  ...
  [ 86 100 100]
  [ 85  97  98]
  [ 79  90  86]]

 [[ 40  51  35]
  [ 35  46  29]
  [ 34  45  28]
  ...
  [ 80  95  92]
  [ 81  93  90]
  [ 77  88  80]]

 [[ 42  51  34]
  [ 38  47  28]
  [ 36  45  26]
  ...
  [ 78  90  86]
  [ 80  91  83]
  [ 75  87  77]]

 ...

 [[ 16  23  14]
  [ 19  26  18]
  [ 24  31  22]
  ...
  [ 71  69  61]
  [ 70  68  60]
  [ 61  62  52]]

 [[ 14  22  12]
  [ 26  34  23]
  [ 25  32  24]
  ...
  [ 67  67  57]
  [ 57  57  47]
  [ 66  66  59]]

 [[  7  15   4]
  [  9  17   6]
  [ 15  23  12]
  ...
  [ 73  73  65]
  [ 78  78  70]
  [ 82  82  74]]]",3,n3,input/training/n3/n3075.jpg
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[ 59  69  73]
  [ 47  53  53]
  [ 46  46  48]
  ...
  [ 94 102 104]
  [113 115 113]
  [123 121 110]]

 [[ 55  70  72]
  [ 48  57  54]
  [ 49  51  50]
  ...
  [ 99 104 108]
  [108 110 109]
  [111 110  98]]

 [[ 55  72  76]
  [ 50  62  60]
  [ 46  52  52]
  ...
  [109 114 118]
  [126 128 127]
  [126 126 121]]

 ...

 [[125 132 110]
  [107 110  91]
  [115 125 105]
  ...
  [ 83  82  87]
  [ 82  83  86]
  [ 78  80  83]]

 [[ 95 105  74]
  [119 123  98]
  [105 113  89]
  ...
  [ 85  88  92]
  [ 88  92  95]
  [ 93  97 101]]

 [[ 89  97  70]
  [101 103  81]
  [139 140 115]
  ...
  [ 92  93  95]
  [ 92  93  95]
  [ 92  94  93]]]",3,n3,input/training/n3/n3171.jpg
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[132 137 143]
  [128 133 139]
  [139 144 149]
  ...
  [126 130 129]
  [121 125 124]
  [120 122 119]]

 [[129 134 140]
  [136 141 147]
  [142 147 153]
  ...
  [126 130 129]
  [121 125 124]
  [120 122 119]]

 [[138 143 149]
  [143 148 154]
  [142 147 153]
  ...
  [125 129 128]
  [121 125 124]
  [120 122 119]]

 ...

 [[102 104  99]
  [100 102  97]
  [100 102  97]
  ...
  [ 83  80  71]
  [ 94  91  82]
  [104 101  92]]

 [[100 102  97]
  [101 103  98]
  [101 103  98]
  ...
  [ 81  78  71]
  [ 87  85  73]
  [101  97  88]]

 [[ 99 101  96]
  [101 103  98]
  [101 103  98]
  ...
  [ 85  82  75]
  [ 81  79  67]
  [ 89  86  77]]]",3,n3,input/training/n3/n3113.jpg
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[126 128 127]
  [128 130 128]
  [129 129 129]
  ...
  [214 220 221]
  [213 217 218]
  [211 215 216]]

 [[126 128 127]
  [127 127 127]
  [127 128 128]
  ...
  [213 216 221]
  [213 216 217]
  [209 213 216]]

 [[123 124 125]
  [123 124 125]
  [125 125 127]
  ...
  [212 216 218]
  [212 215 216]
  [212 216 218]]

 ...

 [[133 134 141]
  [140 141 145]
  [140 144 147]
  ...
  [141 145 150]
  [129 134 138]
  [136 141 149]]

 [[140 144 150]
  [136 139 144]
  [127 127 134]
  ...
  [137 142 150]
  [173 178 180]
  [142 140 147]]

 [[126 128 132]
  [118 121 125]
  [122 124 127]
  ...
  [156 160 170]
  [152 153 158]
  [129 133 140]]]",3,n3,input/training/n3/n3028.jpg
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[ 95 141  38]
  [111 149  62]
  [108 150  63]
  ...
  [160 180 179]
  [158 178 179]
  [153 173 174]]

 [[ 90 139  22]
  [104 145  50]
  [106 150  53]
  ...
  [166 186 187]
  [161 181 182]
  [159 183 183]]

 [[ 86 135  25]
  [ 90 141  40]
  [ 98 143  38]
  ...
  [172 192 193]
  [177 197 198]
  [175 195 196]]

 ...

 [[161 154 148]
  [161 149 145]
  [168 161 155]
  ...
  [165 166 167]
  [144 135 132]
  [155 147 149]]

 [[188 182 176]
  [147 141 135]
  [142 137 131]
  ...
  [176 175 174]
  [156 147 145]
  [161 154 152]]

 [[155 146 138]
  [164 155 148]
  [150 141 134]
  ...
  [165 161 158]
  [148 143 139]
  [162 154 152]]]",3,n3,input/training/n3/n3168.jpg
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[242 232 233]
  [241 231 232]
  [228 216 220]
  ...
  [255 255 253]
  [253 252 250]
  [221 209 211]]

 [[221 214 221]
  [230 220 228]
  [215 203 213]
  ...
  [255 255 255]
  [241 239 246]
  [215 203 212]]

 [[255 251 251]
  [245 239 243]
  [235 226 233]
  ...
  [213 209 228]
  [206 202 221]
  [214 202 210]]

 ...

 [[224 222 236]
  [224 222 236]
  [229 227 241]
  ...
  [255 255 255]
  [255 255 255]
  [254 254 254]]

 [[220 218 232]
  [221 219 233]
  [226 224 238]
  ...
  [255 255 255]
  [255 255 255]
  [254 254 254]]

 [[219 217 231]
  [223 221 235]
  [225 224 237]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]]",3,n3,input/training/n3/n3141.jpg
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[ 34  36  23]
  [ 33  35  22]
  [ 35  37  24]
  ...
  [113 121 108]
  [107 112  98]
  [116 120 105]]

 [[ 32  34  21]
  [ 32  34  21]
  [ 34  36  23]
  ...
  [126 133 120]
  [126 127 114]
  [126 122 110]]

 [[ 31  33  22]
  [ 31  33  22]
  [ 32  34  23]
  ...
  [108 113 103]
  [ 92  98  86]
  [ 93  99  84]]

 ...

 [[ 62  70  59]
  [ 59  68  57]
  [ 62  70  59]
  ...
  [ 48  41  33]
  [ 50  43  35]
  [ 52  45  37]]

 [[ 41  54  36]
  [ 55  66  50]
  [ 73  79  67]
  ...
  [ 48  41  33]
  [ 53  46  38]
  [ 49  42  34]]

 [[ 55  68  50]
  [ 61  72  56]
  [ 70  76  64]
  ...
  [ 52  45  37]
  [ 42  35  27]
  [ 44  37  30]]]",3,n3,input/training/n3/n3055.jpg
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[246 248 234]
  [234 237 219]
  [227 234 201]
  ...
  [ 16  55  34]
  [ 21  62  44]
  [ 39  82  69]]

 [[233 237 222]
  [211 216 191]
  [200 213 169]
  ...
  [ 17  55  34]
  [ 21  64  45]
  [ 41  84  74]]

 [[222 230 211]
  [182 198 151]
  [175 197 135]
  ...
  [ 17  51  32]
  [ 27  68  52]
  [ 48  91  81]]

 ...

 [[157 158 162]
  [146 149 150]
  [126 131 135]
  ...
  [130 139 138]
  [130 136 136]
  [124 133 134]]

 [[128 128 127]
  [131 137 142]
  [132 137 141]
  ...
  [130 136 136]
  [131 139 138]
  [129 139 140]]

 [[132 133 136]
  [135 143 147]
  [128 133 137]
  ...
  [128 134 134]
  [133 142 141]
  [137 146 149]]]",3,n3,input/training/n3/n3136.jpg
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[132 135 124]
  [121 124 113]
  [143 148 141]
  ...
  [ 95 104 113]
  [ 97 110 116]
  [101 113 119]]

 [[152 155 144]
  [129 132 121]
  [146 150 136]
  ...
  [110 120 129]
  [116 126 133]
  [118 129 135]]

 [[160 163 152]
  [152 155 144]
  [147 148 139]
  ...
  [110 120 129]
  [112 121 128]
  [109 118 126]]

 ...

 [[ 27  34  27]
  [ 25  32  25]
  [ 45  47  39]
  ...
  [183 184 178]
  [188 187 182]
  [196 195 190]]

 [[ 40  47  40]
  [ 21  28  21]
  [ 45  47  42]
  ...
  [198 197 192]
  [183 180 175]
  [190 187 182]]

 [[ 29  36  29]
  [ 24  31  24]
  [ 53  54  48]
  ...
  [197 194 188]
  [187 182 176]
  [190 185 181]]]",3,n3,input/training/n3/n3132.jpg
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[220 225 228]
  [219 224 227]
  [220 225 228]
  ...
  [212 220 223]
  [214 219 223]
  [215 220 224]]

 [[222 227 230]
  [222 227 230]
  [221 226 229]
  ...
  [216 221 225]
  [216 221 225]
  [216 221 225]]

 [[222 227 230]
  [222 227 230]
  [223 228 231]
  ...
  [216 221 225]
  [218 223 227]
  [218 223 227]]

 ...

 [[ 90  85  82]
  [ 91  86  83]
  [100  94  92]
  ...
  [102  97  93]
  [100  96  95]
  [107 103 106]]

 [[ 86  76  74]
  [ 89  80  75]
  [ 86  77  72]
  ...
  [ 61  51  49]
  [ 75  65  59]
  [ 79  69  64]]

 [[ 89  79  80]
  [ 89  82  79]
  [ 95  93  96]
  ...
  [ 97  95  91]
  [ 94  90  91]
  [100  99 104]]]",3,n3,input/training/n3/n3160.jpg
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[137 133 134]
  [182 184 183]
  [177 178 178]
  ...
  [229 233 236]
  [203 205 208]
  [190 191 193]]

 [[165 162 163]
  [166 167 167]
  [198 195 196]
  ...
  [201 209 211]
  [240 246 249]
  [209 214 218]]

 [[151 147 144]
  [165 166 160]
  [168 168 168]
  ...
  [219 223 226]
  [217 225 232]
  [226 233 241]]

 ...

 [[182 167 167]
  [143 131 129]
  [137 121 121]
  ...
  [122 111 105]
  [138 127 117]
  [134 121 113]]

 [[110  95  93]
  [155 142 140]
  [111  91  92]
  ...
  [116 102  88]
  [126 113  98]
  [137 124 114]]

 [[170 159 155]
  [125 112 111]
  [147 135 126]
  ...
  [125 108  93]
  [116 100  86]
  [136 120 106]]]",3,n3,input/training/n3/n3166.jpg
